product_id,title,category,brand,description,price_original,price_discounted,discount_percentage
40,"Glass Spice Jars Set","kitchen-accessories","KitchenJoy","Glass spice jars with airtight bamboo lids.",799,599,25
41,"UltraBook Slim 14","laptops","TechPro","Lightweight 14-inch ultrabook with SSD and long battery.",49999,42999,14
42,"Gaming Laptop GTX Series","laptops","GameMax","High-performance gaming laptop with GTX graphics.",74999,66999,11
43,"Business Pro Notebook","laptops","BizCore","Metal-body business laptop with fingerprint login.",55999,47999,14
44,"Student Laptop 15.6","laptops","EduTech","Affordable laptop ideal for students.",34999,29999,14
45,"CreatorBook 4K Touch","laptops","VisionPro","4K touchscreen creator laptop.",99999,89999,10
46,"Men’s Casual Cotton Shirt","mens-shirts","NeoWear","Soft breathable cotton shirt for casual wear.",999,699,30
47,"Men’s Slim Fit Denim Shirt","mens-shirts","UrbanEdge","Slim-fit denim shirt with strong stitching.",1499,1099,27
48,"Men’s Checkered Shirt","mens-shirts","CheckMate","Classic checkered shirt with wrinkle-resistant fabric.",1199,899,25
49,"Formal White Shirt","mens-shirts","FormLine","Premium white formal shirt for office.",1299,999,23
50,"Men’s Linen Summer Shirt","mens-shirts","CoolBreeze","Lightweight linen shirt ideal for hot weather.",1599,1299,18
51,"Men’s Running Shoes","mens-shoes","RunMax","Lightweight running shoes with breathable mesh.",1999,1499,25
52,"Men’s Casual Sneakers","mens-shoes","StreetWalk","Stylish everyday sneakers with durable outsole.",1799,1299,28
53,"Men’s Formal Leather Shoes","mens-shoes","ClassicStep","Premium leather formal shoes for office wear.",2499,1899,24
54,"Men’s Slip-On Loafers","mens-shoes","EaseWear","Comfortable slip-on loafers with cushioned design.",1699,1299,24
55,"Men’s High-Top Sneakers","mens-shoes","UrbanFeet","Trendy high-top sneakers with ankle support.",2299,1699,26
56,"Classic Analog Watch","mens-watches","TimeCraft","Elegant analog wristwatch with leather strap.",1999,1499,25
57,"Digital Sports Watch","mens-watches","SportX","Digital watch with stopwatch, alarm, and LED backlight.",1499,999,33
58,"Chronograph Stainless Steel Watch","mens-watches","SteelMaster","Stylish chronograph watch with metal strap.",3999,2999,25
59,"Minimalist Leather Strap Watch","mens-watches","MonoTime","Minimalist watch with genuine leather strap.",2499,1799,28
60,"Analog-Digital Hybrid Watch","mens-watches","DualGear","Hybrid watch featuring analog and digital displays.",2999,2299,23
61,"Fast Charging USB-C Cable","mobile-accessories","ChargePro","Durable USB-C fast charging cable with reinforced connectors.",399,249,38
62,"Bluetooth Wireless Earbuds","mobile-accessories","SoundBeat","Compact wireless earbuds with long battery life.",1999,1299,35
63,"Mobile Tempered Glass","mobile-accessories","ShieldX","Scratch-resistant tempered glass screen protector.",299,149,50
64,"Portable Power Bank 10000mAh","mobile-accessories","PowerPlus","Fast-charging power bank with dual USB output.",1999,1499,25
65,"Magnetic Phone Holder","mobile-accessories","GripMate","360° adjustable magnetic phone holder.",499,349,30
66,"Motorcycle Helmet Matte Black","motorcycle","RideSafe","Durable matte black helmet with scratch-resistant visor.",1999,1599,20
67,"Motorcycle Riding Gloves","motorcycle","GripGuard","Breathable durable riding gloves with knuckle protection.",999,749,25

68,"Smartphone A15 5G","electronics","TechNova","5G smartphone with AMOLED display and 5000mAh battery.",16999,14999,11
69,"Smartphone Max Pro","electronics","BlueWave","High-performance smartphone with 108MP camera.",22999,19999,13
70,"Smartwatch FitTrack Pro","electronics","PulseWear","Fitness smartwatch with heart-rate and SpO2 sensor.",4999,3999,20
71,"Wireless Bluetooth Speaker","electronics","BoomBox","Portable speaker with deep bass and 12-hour battery life.",2999,2199,27
72,"Tablet Lite 10","electronics","TabWorld","10-inch tablet ideal for entertainment and study.",14999,12999,13
73,"Noise-Cancelling Headphones","electronics","QuietPro","Over-ear headphones with active noise cancellation.",7999,6499,19
74,"Smartwatch Ultra Sports","electronics","PulseWear","Rugged smartwatch with GPS and water resistance.",7999,6499,19
75,"Wireless Gaming Mouse","electronics","GlideX","Fast-response gaming mouse with RGB lighting.",1499,999,33
76,"Mechanical Gaming Keyboard","electronics","KeyForge","RGB mechanical keyboard with blue switches.",3499,2599,25
77,"Portable Bluetooth Soundbar","electronics","SoundBeam","Compact soundbar with rich audio performance.",4999,3799,24

78,"Laptop Cooling Pad","electronics-accessories","CoolBase","Cooling pad with dual fans for better heat dissipation.",1299,899,30
79,"External SSD 512GB","electronics-accessories","FlashCore","High-speed portable SSD with USB-C connectivity.",5999,4499,25
80,"Laptop Sleeve 15.6","electronics-accessories","SafeCase","Shockproof laptop sleeve with waterproof exterior.",999,749,25
81,"Wireless Presenter Remote","electronics-accessories","PointPro","Laser presenter remote with slideshow control.",1499,1099,27
82,"USB-C Multiport Adapter","electronics-accessories","HubLink","6-in-1 USB-C adapter with HDMI and SD card support.",2499,1999,20

83,"Women's Floral Summer Dress","womens-fashion","LunaWear","Lightweight floral dress ideal for summer outings.",1499,1099,27
84,"Women's Straight Kurti","womens-fashion","EthniCore","Elegant straight-fit kurti with soft fabric.",999,799,20
85,"Women's High-Waist Jeans","womens-fashion","DenimQueen","Stretchable high-waist denim jeans.",1799,1299,28
86,"Women's Casual Sneakers","womens-fashion","StepHer","Comfortable sneakers with cushioned sole.",1599,1199,25
87,"Women's Cotton T-Shirt","womens-fashion","HerBasics","Soft cotton t-shirt for everyday wear.",499,349,30
88,"Women's Slim Fit Leggings","womens-fashion","FlexFit","Stretchable leggings ideal for gym and daily wear.",699,499,29
89,"Women's Winter Sweater","womens-fashion","CozyKnit","Warm knitted sweater for winter seasons.",1999,1499,25
90,"Women's Party Wear Top","womens-fashion","GlamHer","Stylish sequined top for party occasions.",1299,999,23
91,"Women's Maxi Gown","womens-fashion","Eleganza","Flowy maxi gown suitable for events.",2499,1999,20
92,"Women's Sports Bra","womens-fashion","AthliPro","Supportive sports bra with breathable fabric.",899,699,22

93,"Non-Stick Tawa","home-kitchen","PanCraft","Flat non-stick tawa ideal for chapatis and dosas.",899,649,28
94,"Electric Kettle 1.8L","home-kitchen","HeatWave","Stainless steel electric kettle with auto shut-off.",1999,1499,25
95,"Mixer Grinder 750W","home-kitchen","BlendPro","750W mixer grinder with 3 jars.",3999,2999,25
96,"Rice Cooker 1L","home-kitchen","CookEase","Automatic electric rice cooker with warm mode.",2499,1999,20
97,"Water Purifier Filter Cartridge","home-kitchen","PureLife","Replacement cartridge for RO water purifiers.",799,599,25

98,"Yoga Mat 10mm","sports-fitness","FitGear","Anti-slip yoga mat with cushioning.",999,749,25
99,"Adjustable Dumbbells Pair","sports-fitness","MuscleMate","Adjustable dumbbells ideal for home workouts.",2499,1999,20
100,"Skipping Rope SpeedPro","sports-fitness","SpeedFit","Speed skipping rope ideal for cardio training.",399,299,25
101,"Treadmill Foldable 2HP","sports-fitness","FitRun","Foldable 2HP treadmill suitable for home cardio workouts.",24999,19999,20
102,"Resistance Bands Set","sports-fitness","FlexPro","Set of 5 resistance bands with different tension levels.",799,599,25
103,"Gym Gloves Padded","sports-fitness","GripFit","Padded gym gloves for weightlifting and workouts.",599,449,25
104,"Badminton Racket Pro","sports-fitness","SwiftSport","Lightweight badminton racket with strong tension strings.",1499,999,33
105,"Football Size 5","sports-fitness","KickMaster","Durable size 5 football for training and matches.",999,699,30

106,"Vacuum Cleaner Compact","home-appliances","CleanMax","Compact vacuum cleaner with high suction power.",4499,3499,22
107,"Air Fryer 4L","home-appliances","CrispyChef","4-liter air fryer with rapid hot-air technology.",5999,4999,17
108,"Induction Cooktop","home-appliances","HeatWave","Energy-efficient induction cooktop with smart settings.",2999,2299,23
109,"Table Fan 3-Speed","home-appliances","BreezeFlow","3-speed oscillating table fan with silent motor.",1999,1499,25
110,"LED Lamp Rechargeable","home-appliances","BrightLite","Rechargeable LED study lamp with adjustable brightness.",1299,899,31

111,"Women’s Handbag Leatherette","womens-fashion","VogueBag","Premium leatherette handbag with spacious compartments.",1999,1499,25
112,"Women’s Sandals Casual","womens-fashion","StepHer","Comfortable casual sandals with cushioned insole.",999,699,30
113,"Women’s Hooded Jacket","womens-fashion","WarmNest","Soft fleece hooded jacket for winter wear.",2499,1899,24
114,"Women’s Office Blazer","womens-fashion","ProStyle","Elegant office blazer with tailored fit.",3499,2799,20
115,"Women’s Ankle Boots","womens-fashion","UrbanHeels","Trendy ankle boots with durable sole.",2999,2399,20
116,"Women’s Palazzo Pants","womens-fashion","ComfortFit","Flowy palazzo pants ideal for daily wear.",1199,899,25
117,"Women’s Sunglasses","womens-fashion","ShadeHer","UV-protection stylish sunglasses for women.",999,699,30
118,"Women’s Ethnic Dupatta","womens-fashion","EthniCore","Soft printed dupatta suitable for festive wear.",799,599,25
119,"Women’s Gold-Tone Earrings","womens-fashion","GlamHer","Lightweight earrings with gold-tone finish.",599,399,33
120,"Women’s Sports Tights","womens-fashion","AthliPro","Breathable sports tights ideal for running and gym.",1499,1099,27

121,"Smart TV 43-inch Full HD","electronics","VisionPro","43-inch Full HD smart TV with streaming apps.",24999,21999,12
122,"Smart TV 55-inch 4K","electronics","VisionPro","55-inch 4K UHD smart TV with HDR10.",44999,39999,11
123,"Portable Mini Projector","electronics","GlowBeam","Compact projector suitable for home movies.",7999,6499,19
124,"WiFi Router Dual Band","electronics","NetWave","High-speed dual-band WiFi router.",1999,1499,25
125,"Smart Home Plug","electronics","HomeLink","Smart plug with app and voice assistant control.",1499,999,33
126,"Smart Door Lock","electronics","SecureHome","Keyless smart lock with fingerprint and PIN access.",6999,5499,21
127,"Wireless CCTV Camera","electronics","SafeWatch","Wireless IP camera with night vision.",2999,2299,23
128,"Bluetooth Car Adapter","electronics","CarTune","Car Bluetooth adapter for wireless calls and music.",1299,899,31
129,"USB LED Light Strip","electronics","GlowLine","Multi-colour LED strip with remote control.",999,699,30
130,"Smart Digital Scale","electronics","BodySense","Bluetooth digital scale with body composition metrics.",2499,1899,24

131,"Men’s Joggers Cotton","mens-fashion","UrbanEdge","Soft cotton joggers suitable for casual wear.",1299,999,23
132,"Men’s Bomber Jacket","mens-fashion","NeoWear","Stylish bomber jacket with ribbed cuffs.",2999,2399,20
133,"Men’s Track Pants","mens-fashion","SportX","Lightweight track pants for daily workouts.",1499,1099,27
134,"Men’s Hoodie Winter","mens-fashion","WarmFlex","Thick winter hoodie with soft lining.",2499,1999,20
135,"Men’s Leather Wallet","mens-fashion","CarryMax","Compact leather wallet with card slots.",799,599,25

136,"Bike Mobile Holder","automotive","RideGear","Adjustable mobile holder for bikes.",499,349,30
137,"Car Vacuum Portable","automotive","AutoClean","Portable car vacuum cleaner with strong suction.",1999,1499,25
138,"Car Seat Neck Pillow","automotive","RestDrive","Memory foam neck pillow for long drives.",1299,899,31
139,"Motorcycle Tail Bag","automotive","RidePack","Durable tail bag with waterproof coating.",2499,1999,20
140,"Car LED Headlight Bulb","automotive","BrightDrive","High-power LED bulb for better visibility.",1999,1499,25

141,"Electric Toothbrush","personal-care","SmilePro","Rechargeable electric toothbrush with soft bristles.",1999,1499,25
142,"Hair Dryer 2000W","personal-care","StyleWind","Powerful 2000W hair dryer with heat control.",2499,1999,20
143,"Beard Trimmer Ultra","personal-care","TrimTech","Rechargeable beard trimmer with multiple length settings.",1499,999,33
144,"Face Serum Vitamin C","personal-care","GlowCare","Vitamin C serum for brightening and hydration.",999,699,30
145,"Aloe Vera Gel Pure","personal-care","NatureGlow","Pure aloe vera gel for skin and hair hydration.",499,349,30
146,"Body Lotion Shea Butter","personal-care","SoftSkin","Moisturizing body lotion with shea butter.",699,499,29
147,"Shampoo Anti-Dandruff","personal-care","ClearMax","Anti-dandruff shampoo with cooling menthol.",599,399,33
148,"Face Wash Neem","personal-care","HerbalPure","Neem face wash suitable for oily skin.",349,249,29
149,"Hand Cream Nourishing","personal-care","CareSoft","Nourishing hand cream for dry skin.",299,199,33
150,"Sunscreen SPF 50","personal-care","SunShield","High-protection sunscreen SPF 50 for daily use.",799,599,25
